Epoch,Train_Cosine_Loss,Val_Cosine_Sim,Learning_Rate,Time_sec
1,0.1419,0.8844,0.000049,3021.2
2,0.1237,0.8904,0.000048,2993.7
3,0.1201,0.8925,0.000045,3007.2
4,0.1182,0.8942,0.000042,2983.7
5,0.1168,0.8953,0.000038,3002.3
6,0.1159,0.8960,0.000033,3012.5
7,0.1152,0.8967,0.000028,2981.4
8,0.1146,0.8972,0.000022,3005.7
9,0.1141,0.8975,0.000017,2985.7
10,0.1138,0.8978,0.000013,3007.4
11,0.1136,0.8979,0.000008,3035.3
12,0.1134,0.8980,0.000005,3011.2
13,0.1134,0.8980,0.000002,3015.1
14,0.1134,0.8981,0.000001,2998.7
15,0.1134,0.8981,0.000000,3036.5
