epoch,lr,train_loss,train_acc,val_loss,val_acc,val_top5
100,0.000157,0.001840,0.999918,0.313762,0.930700,0.982406
101,0.000143,0.002250,0.999754,0.322483,0.928546,0.984201
102,0.000131,0.001970,0.999836,0.317615,0.928187,0.982406
103,0.000118,0.001731,0.999918,0.312619,0.932496,0.983483
104,0.000107,0.001751,0.999918,0.314791,0.929264,0.982765
105,0.000096,0.001871,0.999836,0.312208,0.928546,0.982047
106,0.000086,0.001597,1.000000,0.314580,0.928905,0.982406
107,0.000076,0.002157,0.999672,0.317201,0.926750,0.982765
108,0.000067,0.001654,0.999918,0.314557,0.928546,0.982406
109,0.000059,0.001526,0.999754,0.312832,0.927828,0.983483
110,0.000051,0.001425,1.000000,0.310524,0.929264,0.982765
111,0.000044,0.001743,0.999754,0.305485,0.929264,0.983842
112,0.000037,0.001512,0.999918,0.308274,0.929623,0.983124
113,0.000032,0.001238,0.999836,0.310049,0.928905,0.983124
114,0.000027,0.001584,0.999836,0.310274,0.928546,0.983124
115,0.000022,0.001520,0.999918,0.309140,0.929623,0.983483
116,0.000019,0.001332,1.000000,0.307193,0.928905,0.983124
117,0.000015,0.001439,1.000000,0.306084,0.929982,0.983483
118,0.000013,0.001623,0.999672,0.306708,0.930341,0.983483
119,0.000011,0.001249,1.000000,0.305511,0.929264,0.983842
120,0.000010,0.001229,1.000000,0.306373,0.929982,0.983483
