path,bytes,mtime_ns,kind,sha256
runs/detect/edge_sign_v2_v2split/weights/best.pt,22509674,1780032079741762300,.pt,b1dbd8e7fce0adf928dd420c96ce3142a17cb2da8f5063806a583964104af0e9
runs/detect/edge_sign_v2_v2split/weights/epoch0.pt,44854271,1779985296162811500,.pt,f0950f099c17e4a434271d1d06d12a8174ad2ac143e9fca74c2a0343db940a25
runs/detect/edge_sign_v2_v2split/weights/epoch10.pt,44855423,1779987935133420600,.pt,f3a973f4dc2e6f3fcef7cea874d27f4b0cfe2e32fcd0d1cd9a53e0018bee5ea6
runs/detect/edge_sign_v2_v2split/weights/epoch20.pt,44856703,1779990559945353800,.pt,a0deb0ee2767d17d2cfc370799a47227aaa50717e80025a6fa774b5fc28ea988
runs/detect/edge_sign_v2_v2split/weights/epoch30.pt,44857983,1780020671837021100,.pt,ef68d2c29672a8f62fc2ea5bf16469136d1e91a7c6582de96bfcbdf7273be979
runs/detect/edge_sign_v2_v2split/weights/epoch40.pt,44859263,1780023314201578400,.pt,faa9723ed5ee8e9ae239612e2291793db28818f164000c90ec4f1a1dea2006af
runs/detect/edge_sign_v2_v2split/weights/epoch50.pt,44860543,1780025976659872300,.pt,12373b7c500c764bb3a7a70d3af056181a8206556a3775f8e2957a140b95a454
runs/detect/edge_sign_v2_v2split/weights/epoch60.pt,44861823,1780028623885939400,.pt,0e43f7db80e823f182ebad3f4c983b4a9b56ace2cf443ab9dc12dc58d94ffa4a
runs/detect/edge_sign_v2_v2split/weights/epoch70.pt,44863103,1780031290994189800,.pt,01b6127e9f958570d03df0c3eb290e21c1ecb159bb6cc612fd887796216dcb5f
runs/detect/edge_sign_v2_v2split/weights/last.pt,22509674,1780032079652232200,.pt,51251ae1d0c6ff70367571e4fb102d04117d1a347cf783e68cea8fda0d2d8d36
runs/detect/edge_sign_v3_lights-4/args.yaml,1793,1780136432740635500,.yaml,ae51fa80c0051ce59f74951a5a4efb1a92360370dfcef65b196ea3b472440301
runs/detect/edge_sign_v3_lights-4/labels.jpg,92110,1780136436071865500,.jpg,193d6619131b1127f3ab1bb920e7bd98545aecebca41c6a0a86d843fb7567637
runs/detect/edge_sign_v3_lights-4/results.csv,4437,1780154876890477400,.csv,a9d7a74a87e29fe6d70f7837b2b6dfb6b3da5d4339a81479908c55c5cb6798be
runs/detect/edge_sign_v3_lights-4/results.png,259625,1780799796700594000,.png,70bd267f0630bb8ecbf440515516bc9ad9d1136f60bb9f426899ac16b49389b3
runs/detect/edge_sign_v3_lights-4/train_batch0.jpg,362634,1780136437546638100,.jpg,3369e67102d9cf87ecdf683275b8c94f8a532bf3b70033d6c7c2699068fae7c2
runs/detect/edge_sign_v3_lights-4/train_batch1.jpg,387516,1780136437950943500,.jpg,17e500a944afe9a6f47fe55f5bc95dc478bdc7b88c30a43ff8855a598a53498a
runs/detect/edge_sign_v3_lights-4/train_batch2.jpg,400659,1780136438338142600,.jpg,589058fda3f987a15c7840ebae128464decbeaa938ca5359b9e28ce2a8a9e718
runs/detect/edge_sign_v3_lights-4/train_batch46410.jpg,344229,1780152823004003600,.jpg,2873d7a8626783cd168fcfed3ab20baf715f989d2b8416f981bf7d5c9acb1b1c
runs/detect/edge_sign_v3_lights-4/train_batch46411.jpg,358806,1780152823335358700,.jpg,b5814d683a21779b348d2e6d8cba1139c50421f469845d8053b43307e84677c4
runs/detect/edge_sign_v3_lights-4/train_batch46412.jpg,346550,1780152823681111000,.jpg,75cf5325c47ab9d0dae666b2c135c239d33bb0e90d8feb2cb13bc38fefb88d6f
runs/detect/edge_sign_v3_lights-4/weights/best.onnx,44747495,1780155316609737400,.onnx,033615c8ec96a62b36e3c5c3e4bd586403c165f9cb519f4352f3c33e50f8f323
runs/detect/edge_sign_v3_lights-4/weights/best.pt,89579619,1780152259029609200,.pt,75d44c40366a2e8a42fef76115b46ee4afe51f815009dcf94c8a10791c3a0639
runs/detect/edge_sign_v3_lights-4/weights/epoch0.pt,89576291,1780137059865424000,.pt,1ba945ec840010ee6917078e148a73850ab3bc224119fc6cc94e55b10dff542a
runs/detect/edge_sign_v3_lights-4/weights/epoch10.pt,89577315,1780142489604201100,.pt,0bd2686063619ed3cf7898b4eb06162cc47a6b6669822be2223903818cba41e9
runs/detect/edge_sign_v3_lights-4/weights/epoch20.pt,89578595,1780147861937126100,.pt,62c45e65051ee3af99702cc8f6ddc830824a1a518f20cb2382e5fc17d9af49df
runs/detect/edge_sign_v3_lights-4/weights/epoch30.pt,89579875,1780153329831663300,.pt,8b424e00b1f87c021a00a07e5b6872a569001d2b6678c31b301fad6a04048fbd
runs/detect/edge_sign_v3_lights-4/weights/last.pt,89580259,1780154877252584300,.pt,81a1a9b569c3255df151ca27b7a153bcb8a902bb0299e69dfe93a71a2790a458
runs/detect/edge_sign_v4/args.yaml,1810,1780714112753239800,.yaml,aa609a7aa1a46e8cd8679ad6ae324edb3fb652f49448e96f4691a435d787c3f2
runs/detect/edge_sign_v4/BoxF1_curve.png,142339,1780735002789555800,.png,bb3b3439e16b6d0423522bd104e13fd214ba99a36f1fe577032c05d38643b87b
runs/detect/edge_sign_v4/BoxP_curve.png,130288,1780735002887172800,.png,00399037ada565bb251c4e3e43f854a4aadc25a4f981aa2758ed1d6f11125bed
runs/detect/edge_sign_v4/BoxPR_curve.png,135437,1780735002692431400,.png,fe5066fbee567bd701dc8ee5eae7a1981353998b4e3158c3a2d9f82e4a07ea46
runs/detect/edge_sign_v4/BoxR_curve.png,142464,1780735003092614100,.png,fd06289aa9da5d1b5f58a9b80da415dc42b02ecab3b5e87d82625cc473de78cd
runs/detect/edge_sign_v4/confusion_matrix.png,121664,1780735003386968100,.png,de5a654334a80b7e1e4acdaf0fc5f3732671e5364ab101b0a979cec3e27426ec
