iteration,prepare_ms,inference_ms
0,10.894999980926514,12.710000038146973
1,10.950000047683716,12.579999923706055
2,10.910000085830688,12.614999771118164
3,11.015000104904175,12.599999904632568
4,10.855000019073486,12.670000076293945
5,11.015000104904175,12.519999980926514
6,11.115000009536743,12.799999952316284
7,10.84000015258789,12.434999942779541
8,10.894999980926514,12.589999914169312
9,11.100000143051147,12.59500002861023
10,11.06499981880188,12.65500020980835
11,11.119999885559082,12.75
12,11.329999923706055,12.740000009536743
13,10.985000133514404,12.484999895095825
14,11.210000038146973,12.615000009536743
15,11.089999914169312,12.625
16,11.490000009536743,12.830000162124634
17,11.480000019073486,15.365000009536743
18,11.105000019073486,14.414999961853027
19,11.475000143051147,13.099999904632568
20,11.105000019073486,12.915000200271606
21,11.109999895095825,12.789999961853027
22,11.110000133514404,12.974999904632568
23,11.22000002861023,12.764999866485596
24,11.230000019073486,12.910000085830688
25,11,12.785000085830688
26,10.954999923706055,12.815000057220459
27,11.120000123977661,12.744999885559082
28,11.125,12.990000009536743
29,11.240000009536743,12.835000038146973
30,10.97000002861023,12.805000066757202
31,11.059999942779541,12.644999980926514
32,10.865000009536743,12.740000009536743
33,11.065000057220459,12.639999866485596
34,10.924999952316284,12.789999961853027
35,11.055000066757202,12.72000002861023
36,11.049999952316284,13.09000015258789
37,10.994999885559082,12.975000143051147
38,11.069999933242798,13.045000076293945
39,11.125,12.880000114440918
40,11.40499997138977,12.894999980926514
41,11.325000047683716,12.839999914169312
42,11.045000076293945,12.865000009536743
43,10.930000066757202,12.804999828338623
44,11.200000047683716,12.825000047683716
45,11.419999837875366,12.650000095367432
46,11.200000047683716,12.950000047683716
47,11.274999856948853,12.985000133514404
48,11.125,12.839999914169312
49,10.960000038146973,12.684999942779541
50,11.129999876022339,12.980000019073486
51,11.509999990463257,12.68999981880188
52,11.105000019073486,12.84000015258789
53,11.059999942779541,12.759999990463257
54,11.15499997138977,12.975000143051147
55,11.150000095367432,12.984999895095825
56,11.235000133514404,12.96999979019165
57,11.180000066757202,14.130000114440918
58,11.15499997138977,12.869999885559082
59,10.995000123977661,12.694999933242798
60,11.005000114440918,12.674999952316284
61,11.27999997138977,12.545000076293945
62,11.15499997138977,12.875
63,11.009999990463257,12.769999980926514
64,12.644999980926514,13.110000133514404
65,11.680000066757202,12.949999809265137
66,11.539999961853027,12.734999895095825
67,10.984999895095825,12.615000009536743
68,10.924999952316284,12.789999961853027
69,11.15499997138977,12.629999876022339
70,11.005000114440918,12.609999895095825
71,11.360000133514404,12.559999942779541
72,11.349999904632568,12.860000133514404
73,11.115000009536743,12.724999904632568
74,10.894999980926514,12.865000009536743
75,11.125,12.745000123977661
76,11.080000162124634,12.894999980926514
77,11.359999895095825,12.985000133514404
78,11.109999895095825,12.819999933242798
79,11.369999885559082,12.384999990463257
80,11.15499997138977,12.650000095367432
81,10.954999923706055,12.730000019073486
82,10.894999980926514,13.035000085830688
83,11.099999904632568,12.700000047683716
84,10.954999923706055,12.805000066757202
85,10.960000038146973,12.68999981880188
86,11.09500002861023,12.995000123977661
87,11.129999876022339,12.705000162124634
88,11.105000019073486,12.555000066757202
89,11.429999828338623,13.610000133514404
90,11.34000015258789,12.944999933242798
91,11.799999952316284,12.610000133514404
92,11.234999895095825,13.75
93,11.210000038146973,12.759999990463257
94,11.150000095367432,13.019999980926514
95,11.164999961853027,12.744999885559082
96,11.105000019073486,12.850000143051147
97,11.079999923706055,12.700000047683716
98,11,12.710000038146973
99,11.089999914169312,12.694999933242798
100,11.380000114440918,12.944999933242798
101,11.304999828338623,12.875
102,11.150000095367432,12.809999942779541
103,10.985000133514404,12.684999942779541
104,10.934999942779541,12.815000057220459
105,10.920000076293945,12.824999809265137
106,11.615000009536743,12.865000009536743
107,11.055000066757202,12.900000095367432
108,11.459999799728394,12.915000200271606
109,11.440000057220459,12.920000076293945
110,11.134999990463257,12.755000114440918
111,11.184999942779541,12.77999997138977
112,11.054999828338623,12.880000114440918
113,11.294999837875366,12.890000104904175
114,11.02999997138977,13.785000085830688
115,11.440000057220459,12.81499981880188
116,11.004999876022339,12.81000018119812
117,11.149999856948853,13.575000047683716
118,10.934999942779541,12.84500002861023
