iteration,prepare_ms,inference_ms
0,11.700000047683716,48.169999837875366
1,10.365000009536743,48.09999990463257
2,11.480000019073486,49
3,10.5,49.30999994277954
4,11.5,49.06500005722046
5,10.679999828338623,50.1800000667572
6,11.384999990463257,48.55499982833862
7,10.585000038146973,49.325000047683716
8,11.309999942779541,49.36500000953674
9,10.670000076293945,134.07999992370605
10,11.649999856948853,69.5550000667572
11,10.740000009536743,49.65499997138977
12,11.485000133514404,47.105000019073486
13,10.555000066757202,47.375
14,11.47000002861023,47.549999952316284
15,10.305000066757202,47.66499996185303
16,11.664999961853027,48.450000047683716
17,10.759999990463257,48.799999952316284
18,11.5,48.66000008583069
19,10.545000076293945,48.704999923706055
20,11.299999952316284,49.705000162124634
21,10.5,49.33999991416931
22,11.429999828338623,48.63000011444092
23,10.52999997138977,48.78000020980835
24,11.964999914169312,49.610000133514404
25,10.59500002861023,48.86999988555908
26,11.539999961853027,49.91000008583069
27,10.464999914169312,48.55999994277954
28,11.554999828338623,50.21000003814697
29,10.40999984741211,50.46000003814697
30,11.245000123977661,47.59999990463257
31,10.369999885559082,47.90499997138977
32,11.365000009536743,49.53499984741211
33,10.805000066757202,48.14999985694885
34,11.394999980926514,48.99500012397766
35,10.390000104904175,49.16499996185303
36,11.824999809265137,48.730000019073486
37,10.34000015258789,48.25
38,11.639999866485596,48.62000012397766
39,10.694999933242798,49.74000000953674
40,11.565000057220459,48.94000005722046
41,10.71500015258789,49.78999996185303
42,11.355000019073486,58.75999999046326
43,10.519999980926514,49.77999997138977
44,11.429999828338623,48.55000019073486
45,10.605000019073486,47.55999994277954
46,10.889999866485596,46.735000133514404
47,10.315000057220459,46.17999982833862
48,11.144999980926514,46.81500005722046
49,10.660000085830688,47.80999994277954
50,11.514999866485596,47.47500014305115
51,10.21999979019165,45.88000011444092
52,11.555000066757202,46.375
53,10.170000076293945,46.56500005722046
54,11.244999885559082,46.88499999046326
55,10.485000133514404,48.9449999332428
56,11.610000133514404,53.5699999332428
57,10.569999933242798,107.17500019073486
58,12.47000002861023,47.90999984741211
59,10.40499997138977,48.46499991416931
