iteration,preprocess_ms,inference_ms,postprocess_ms,detector_total_ms,detection_count
0,3,112.6000000089407,0.09999999403953552,115.70000000298023,2
1,2.2999999970197678,107.70000000298023,0.10000000894069672,110.1000000089407,2
2,3.0999999940395355,126.5,0,129.59999999403954,2
3,2.9000000059604645,108.59999999403954,0,111.5,2
4,3.4000000059604645,121.69999998807907,0,125.09999999403954,2
5,2.5,104.80000001192093,0,107.30000001192093,2
6,2.5,102.8999999910593,0,105.3999999910593,2
7,2.4000000059604645,102.3999999910593,0,104.79999999701977,2
8,2.4000000059604645,106.29999999701977,0,108.70000000298023,2
9,2.4000000059604645,104.20000000298023,0,106.6000000089407,2
10,2.3999999910593033,104.70000000298023,0,107.09999999403954,2
11,3.2000000029802322,102.8999999910593,0,106.09999999403954,2
12,3,105.70000000298023,0,108.70000000298023,2
13,2.6000000089406967,101.8999999910593,0,104.5,2
14,2.4000000059604645,102.70000000298023,0,105.1000000089407,2
15,2.5,102.09999999403954,0,104.59999999403954,2
16,2.4000000059604645,102.59999999403954,0,105,2
17,3,104.09999999403954,0,107.09999999403954,2
18,2.6000000089406967,102.59999999403954,0,105.20000000298023,2
19,2.4000000059604645,102.20000000298023,0,104.6000000089407,2
20,2.3999999910593033,102.29999999701977,0,104.69999998807907,2
21,5.300000011920929,101.69999998807907,0,107,2
22,2.4000000059604645,102,0,104.40000000596046,2
23,2.5,102.20000000298023,0,104.70000000298023,2
24,2.5,113.20000000298023,0,115.70000000298023,2
25,2.5,106.8999999910593,0,109.3999999910593,2
26,2.6000000089406967,117.19999998807907,0,119.79999999701977,2
27,2.5999999940395355,112.20000000298023,0,114.79999999701977,2
28,2.5999999940395355,110.6000000089407,0,113.20000000298023,2
29,3,103.09999999403954,0,106.09999999403954,2
30,5.5,108.29999999701977,0,113.79999999701977,2
31,2.2999999970197678,102.6000000089407,0,104.90000000596046,2
32,2.2999999970197678,101.59999999403954,0,103.8999999910593,2
33,2.4000000059604645,101.90000000596046,0,104.30000001192093,2
34,2.5,101.79999999701977,0,104.29999999701977,2
35,2.3999999910593033,101.40000000596046,0,103.79999999701977,2
36,2.2999999970197678,102.29999999701977,0,104.59999999403954,2
37,2.5,101.40000000596046,0,103.90000000596046,2
38,2.2999999970197678,102.1000000089407,0,104.40000000596046,2
39,2.3999999910593033,102.29999999701977,0,104.69999998807907,2
40,5.4000000059604645,101.5,0,106.90000000596046,2
41,2.5,101.70000000298023,0,104.20000000298023,2
42,2.3999999910593033,101.80000001192093,0,104.20000000298023,2
43,2.3999999910593033,102.20000000298023,0,104.59999999403954,2
44,2.2999999970197678,102.20000000298023,0,104.5,2
45,2.5,101.59999999403954,0,104.09999999403954,2
46,2.5,101.30000001192093,0,103.80000001192093,2
47,2.5,101.59999999403954,0,104.09999999403954,2
48,2.4000000059604645,103.59999999403954,0,106,2
49,4.9000000059604645,102.3999999910593,0,107.29999999701977,2
