iteration,preprocess_ms,inference_ms,postprocess_ms,detector_total_ms,detection_count
0,3.9000000059604645,118.09999999403954,0,122,0
1,2.5999999940395355,120.5,0,123.09999999403954,0
2,2.4000000059604645,113.90000000596046,0,116.30000001192093,0
3,2.699999988079071,119.20000000298023,0,121.8999999910593,0
4,4.100000008940697,116.29999999701977,0,120.40000000596046,0
5,2.3999999910593033,103.70000000298023,0,106.09999999403954,0
6,3.3999999910593033,107.70000000298023,0,111.09999999403954,0
7,2.4000000059604645,103.29999999701977,0,105.70000000298023,0
8,2.3999999910593033,104,0,106.3999999910593,0
9,2.4000000059604645,106.29999999701977,0,108.70000000298023,0
10,2.5,103.70000000298023,0,106.20000000298023,0
11,2.5,103.70000000298023,0,106.20000000298023,0
12,2.2999999970197678,103.29999999701977,0,105.59999999403954,0
13,2.5,106.5,0,109,0
14,3.5,103.20000000298023,0,106.70000000298023,0
15,2.5999999940395355,102.80000001192093,0,105.40000000596046,0
16,2.3999999910593033,103.90000000596046,0,106.29999999701977,0
17,2.3999999910593033,103.40000000596046,0,105.79999999701977,0
18,2.5999999940395355,104.6000000089407,0,107.20000000298023,0
19,2.5,104,0,106.5,0
20,2.3999999910593033,102.80000001192093,0,105.20000000298023,0
21,2.3999999910593033,103.70000000298023,0,106.09999999403954,0
22,2.4000000059604645,104,0,106.40000000596046,0
23,2.3999999910593033,105.79999999701977,0,108.19999998807907,0
24,5.800000011920929,107.69999998807907,0,113.5,0
25,2.4000000059604645,103.59999999403954,0,106,0
26,2.4000000059604645,103.40000000596046,0,105.80000001192093,0
27,2.3999999910593033,102.70000000298023,0,105.09999999403954,0
28,2.5999999940395355,103.40000000596046,0,106,0
29,2.9000000059604645,103,0,105.90000000596046,0
30,2.2999999970197678,103.20000000298023,0,105.5,0
31,2.4000000059604645,103.3999999910593,0,105.79999999701977,0
32,2.4000000059604645,114.20000000298023,0,116.6000000089407,0
33,6.4000000059604645,109.69999998807907,0.10000000894069672,116.20000000298023,0
34,2.5,109.20000000298023,0,111.70000000298023,0
35,3.199999988079071,115.20000000298023,0,118.3999999910593,0
36,3.0999999940395355,108.79999999701977,0,111.8999999910593,0
37,2.5,103.20000000298023,0,105.70000000298023,0
38,2.5,104.20000000298023,0,106.70000000298023,0
39,2.5,103.59999999403954,0,106.09999999403954,0
40,2.6000000089406967,104.09999999403954,0,106.70000000298023,0
41,2.5,103.40000000596046,0,105.90000000596046,0
42,2.2999999970197678,104.20000000298023,0,106.5,0
43,5,103,0,108,0
44,2.3999999910593033,102.90000000596046,0,105.29999999701977,0
45,2.2999999970197678,102.70000000298023,0,105,0
46,2.3999999910593033,102.70000000298023,0,105.09999999403954,0
47,2.4000000059604645,103.8999999910593,0,106.29999999701977,0
48,2.4000000059604645,102.40000000596046,0,104.80000001192093,0
49,2.5999999940395355,102.59999999403954,0,105.19999998807907,0
