epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4837.47,1.11149,1.15092,1.11865,0.69287,0.48427,0.55902,0.38748,0.9206,1.1976,1.14905,0.00643101,0.00643101,0.00643101
43,4950.07,1.10468,1.14602,1.11525,0.68949,0.48589,0.55949,0.38834,0.91972,1.19646,1.14854,0.00628101,0.00628101,0.00628101
44,5064.8,1.10811,1.14232,1.12009,0.68978,0.48655,0.55986,0.38865,0.91907,1.19561,1.14789,0.00612981,0.00612981,0.00612981
45,5179.86,1.10402,1.13383,1.1154,0.69345,0.48339,0.56045,0.38944,0.91892,1.19444,1.14779,0.00597754,0.00597754,0.00597754
46,5294.67,1.09622,1.13432,1.11374,0.68912,0.48483,0.56131,0.38927,0.91802,1.19347,1.14735,0.00582435,0.00582435,0.00582435
47,5408.65,1.09936,1.12638,1.11288,0.68684,0.48738,0.56132,0.38955,0.91741,1.19236,1.14665,0.0056704,0.0056704,0.0056704
48,5522.54,1.09552,1.12776,1.10825,0.67683,0.49424,0.56146,0.38996,0.91702,1.19148,1.14619,0.00551584,0.00551584,0.00551584
49,5636.08,1.09003,1.12119,1.10925,0.67849,0.49444,0.5626,0.39,0.91661,1.19067,1.14562,0.00536081,0.00536081,0.00536081
50,5750.44,1.08758,1.11294,1.10616,0.67833,0.4952,0.56288,0.38985,0.91624,1.18969,1.14498,0.00520548,0.00520548,0.00520548
51,5867.52,1.08031,1.103,1.10625,0.67844,0.49484,0.56306,0.39049,0.91617,1.18894,1.1447,0.00505,0.00505,0.00505
52,5984.25,1.08441,1.1135,1.10702,0.67934,0.49448,0.56315,0.39064,0.91566,1.18812,1.14423,0.00489452,0.00489452,0.00489452
53,6101.2,1.07791,1.09859,1.1023,0.68189,0.49403,0.56397,0.39079,0.91516,1.18718,1.14384,0.00473919,0.00473919,0.00473919
54,6217.82,1.07598,1.09336,1.09779,0.68349,0.49295,0.56337,0.39075,0.91472,1.18641,1.14359,0.00458416,0.00458416,0.00458416
55,6334.65,1.0768,1.09244,1.10159,0.68348,0.49437,0.564,0.39125,0.91447,1.18599,1.14335,0.0044296,0.0044296,0.0044296
56,6451.81,1.06959,1.08294,1.0987,0.68238,0.4924,0.56345,0.3913,0.91424,1.18524,1.1431,0.00427565,0.00427565,0.00427565
57,6565.71,1.07207,1.08258,1.09663,0.68407,0.49414,0.5635,0.39166,0.91428,1.18424,1.14308,0.00412246,0.00412246,0.00412246
58,6679.3,1.06338,1.07955,1.09683,0.68087,0.49599,0.56419,0.39208,0.9134,1.18386,1.14234,0.00397019,0.00397019,0.00397019
59,6793.1,1.0597,1.07291,1.09369,0.69037,0.49241,0.56373,0.39228,0.91317,1.18294,1.14188,0.00381899,0.00381899,0.00381899
60,6906.71,1.05432,1.06589,1.08929,0.69127,0.49378,0.56519,0.39278,0.91261,1.18207,1.14145,0.00366899,0.00366899,0.00366899
61,7020.37,1.05451,1.06008,1.09146,0.68913,0.49629,0.5654,0.39318,0.912,1.18136,1.14075,0.00352037,0.00352037,0.00352037
62,7134.21,1.04512,1.05551,1.08877,0.69218,0.49508,0.56516,0.39342,0.91172,1.18046,1.14053,0.00337325,0.00337325,0.00337325
63,7248,1.0512,1.05591,1.09027,0.6929,0.49368,0.56501,0.3937,0.91131,1.18002,1.14017,0.00322778,0.00322778,0.00322778
64,7361.68,1.04108,1.04467,1.08347,0.69464,0.49262,0.56518,0.39416,0.91102,1.17881,1.14006,0.00308412,0.00308412,0.00308412
65,7476.08,1.03834,1.04357,1.08282,0.69601,0.49285,0.56548,0.39462,0.91037,1.17821,1.13959,0.00294239,0.00294239,0.00294239
66,7595.89,1.04006,1.03943,1.08316,0.69855,0.49448,0.56546,0.39442,0.91001,1.17755,1.13904,0.00280275,0.00280275,0.00280275
67,7712.57,1.03447,1.03316,1.0792,0.69906,0.49506,0.56631,0.39517,0.90992,1.17664,1.13887,0.00266532,0.00266532,0.00266532
68,7825.68,1.02653,1.02685,1.07743,0.69936,0.49579,0.56613,0.39496,0.90952,1.17607,1.13834,0.00253024,0.00253024,0.00253024
69,7939.12,1.02826,1.02201,1.0781,0.70412,0.49505,0.56643,0.39514,0.9094,1.17545,1.13805,0.00239766,0.00239766,0.00239766
70,8054.42,1.02664,1.01809,1.07934,0.7064,0.49392,0.5664,0.39536,0.90904,1.17482,1.1376,0.00226769,0.00226769,0.00226769
71,8172.32,1.01736,1.00954,1.07128,0.71044,0.49126,0.56652,0.39568,0.90871,1.17457,1.13706,0.00214046,0.00214046,0.00214046
72,8292.49,1.01622,0.99765,1.07208,0.71062,0.49265,0.56729,0.39595,0.9083,1.17386,1.13653,0.00201611,0.00201611,0.00201611
73,8405.66,1.01413,0.99751,1.07271,0.71066,0.49337,0.56786,0.3964,0.90822,1.17331,1.13636,0.00189475,0.00189475,0.00189475
74,8520.03,1.00923,0.9914,1.06934,0.70849,0.49591,0.56867,0.39646,0.90827,1.17276,1.1362,0.00177651,0.00177651,0.00177651
75,8634.29,1.01135,0.98849,1.06933,0.7119,0.49684,0.5688,0.39643,0.9083,1.17235,1.13595,0.00166149,0.00166149,0.00166149
76,8748.38,1.00662,0.98083,1.0652,0.71249,0.49592,0.5695,0.39659,0.90844,1.17181,1.13598,0.00154982,0.00154982,0.00154982
77,8860.07,1.00458,0.97181,1.06562,0.71147,0.49895,0.57039,0.39727,0.90847,1.17145,1.13576,0.00144161,0.00144161,0.00144161
78,8972.12,0.99742,0.96471,1.06272,0.71255,0.49834,0.57059,0.39713,0.90831,1.17112,1.13538,0.00133695,0.00133695,0.00133695
79,9084.14,0.99701,0.96624,1.0625,0.7105,0.49997,0.57101,0.39758,0.90834,1.17056,1.13513,0.00123596,0.00123596,0.00123596
80,9195.85,0.99614,0.95991,1.06343,0.70929,0.5004,0.57112,0.39793,0.90832,1.16987,1.13505,0.00113873,0.00113873,0.00113873
81,9307.82,0.98786,0.95476,1.05949,0.70962,0.50108,0.57094,0.39759,0.90874,1.16967,1.13509,0.00104537,0.00104537,0.00104537
82,9419.48,0.98851,0.94418,1.0562,0.71065,0.50142,0.57147,0.39807,0.90891,1.16932,1.13518,0.000955951,0.000955951,0.000955951
