iteration,preprocess_ms,inference_ms,postprocess_ms,detector_total_ms,detection_count
0,265.79999999701977,151.90000000596046,0,417.70000000298023,2
1,264.70000000298023,152.90000000596046,0,417.6000000089407,2
2,265,150.29999999701977,0,415.29999999701977,2
3,262.79999999701977,151.70000000298023,0,414.5,2
4,265.09999999403954,150.6000000089407,0.09999999403953552,415.79999999701977,2
5,267,150.20000000298023,0,417.20000000298023,2
6,262.3999999910593,152.1000000089407,0,414.5,2
7,265.5,151.5,0,417,2
8,267.70000000298023,155.59999999403954,0,423.29999999701977,2
9,264.90000000596046,165.69999998807907,0,430.59999999403954,2
10,302.5,152.29999999701977,0,454.79999999701977,2
11,265.5,152.09999999403954,0,417.59999999403954,2
12,264.5,148.1000000089407,0,412.6000000089407,2
13,264.79999999701977,158,0,422.79999999701977,2
14,275.59999999403954,156.40000000596046,0,432,2
15,276.09999999403954,155.80000001192093,0,431.90000000596046,2
16,280.29999999701977,157.29999999701977,0,437.59999999403954,2
17,276.59999999403954,154.1000000089407,0,430.70000000298023,2
18,278.79999999701977,154.70000000298023,0,433.5,2
19,272.3999999910593,157.90000000596046,0,430.29999999701977,2
20,273.70000000298023,157.70000000298023,0,431.40000000596046,2
21,272.59999999403954,151.90000000596046,0,424.5,2
22,281.29999999701977,152,0,433.29999999701977,2
23,270,159.09999999403954,0,429.09999999403954,2
24,276,157.79999999701977,0,433.79999999701977,2
25,275.70000000298023,156.29999999701977,0,432,2
26,280.20000000298023,157,0,437.20000000298023,2
27,272.59999999403954,160.5,0,433.09999999403954,2
28,280,149.59999999403954,0,429.59999999403954,2
29,271.20000000298023,148.1000000089407,0,419.30000001192093,2
30,260.69999998807907,149.70000000298023,0,410.3999999910593,2
31,262.5,148.20000000298023,0,410.70000000298023,2
32,277.20000000298023,150.3999999910593,0,427.59999999403954,2
33,263.70000000298023,147.29999999701977,0.10000000894069672,411.1000000089407,2
34,267.20000000298023,148.09999999403954,0,415.29999999701977,2
35,265.70000000298023,148,0,413.70000000298023,2
36,264.5,147.59999999403954,0,412.09999999403954,2
37,263.29999999701977,147.6000000089407,0,410.90000000596046,2
38,261.20000000298023,148.09999999403954,0,409.29999999701977,2
39,268.90000000596046,149.69999998807907,0,418.59999999403954,2
40,267,147.6000000089407,0,414.6000000089407,2
41,263.59999999403954,147.5,0.10000000894069672,411.20000000298023,2
42,263,146.8999999910593,0,409.8999999910593,2
43,261.29999999701977,146.8999999910593,0,408.19999998807907,2
44,265.30000001192093,147.69999998807907,0,413,2
45,263.30000001192093,148.69999998807907,0,412,2
46,266.80000001192093,146.69999998807907,0,413.5,2
47,263.30000001192093,150.3999999910593,0,413.70000000298023,2
48,261.1000000089407,147.79999999701977,0,408.90000000596046,2
49,263.70000000298023,149.09999999403954,0,412.79999999701977,2
