iteration,preprocess_ms,inference_ms,postprocess_ms,detector_total_ms,detection_count
0,3,120.29999999701977,0,123.29999999701977,0
1,2.5,113.09999999403954,0,115.59999999403954,0
2,2.5,130.70000000298023,0,133.20000000298023,0
3,3.5999999940395355,119,0,122.59999999403954,0
4,2.9000000059604645,109,0,111.90000000596046,0
5,2.5999999940395355,103.90000000596046,0,106.5,0
6,2.4000000059604645,105.79999999701977,0,108.20000000298023,0
7,2.3999999910593033,103.30000001192093,0,105.70000000298023,0
8,2.3999999910593033,102.6000000089407,0,105,0
9,2.5,106.79999999701977,0,109.29999999701977,0
10,2.5999999940395355,109.70000000298023,0,112.29999999701977,0
11,3.2000000029802322,103.09999999403954,0,106.29999999701977,0
12,2.4000000059604645,103.20000000298023,0,105.6000000089407,0
13,2.5,103,0,105.5,0
14,2.3999999910593033,103.20000000298023,0,105.59999999403954,0
15,2.4000000059604645,102.29999999701977,0,104.70000000298023,0
16,2.5,103.09999999403954,0,105.59999999403954,0
17,2.4000000059604645,103.3999999910593,0,105.79999999701977,0
18,2.6000000089406967,104.09999999403954,0,106.70000000298023,0
19,2.3999999910593033,102.90000000596046,0,105.29999999701977,0
20,2.3999999910593033,102.40000000596046,0,104.79999999701977,0
21,5.299999997019768,103.1000000089407,0,108.40000000596046,0
22,2.5,102.59999999403954,0,105.09999999403954,0
23,2.4000000059604645,105,0,107.40000000596046,0
24,2.2999999970197678,104,0,106.29999999701977,0
25,2.5,102.29999999701977,0,104.79999999701977,0
26,2.2999999970197678,102.6000000089407,0,104.90000000596046,0
27,2.3999999910593033,102.5,0,104.8999999910593,0
28,2.4000000059604645,102.29999999701977,0,104.70000000298023,0
29,3,102.90000000596046,0,105.90000000596046,0
30,4.299999997019768,102.5,0,106.79999999701977,0
31,3.7999999970197678,103.5,0,107.29999999701977,0
32,2.5,103.6000000089407,0,106.1000000089407,0
33,2.5,102.8999999910593,0,105.3999999910593,0
34,2.4000000059604645,102.5,0,104.90000000596046,0
35,3,103.5,0,106.5,0
36,2.5,102.90000000596046,0,105.40000000596046,0
37,2.5,104.3999999910593,0,106.8999999910593,0
38,2.4000000059604645,103.59999999403954,0,106,0
39,2.2999999970197678,102.6000000089407,0,104.90000000596046,0
40,2.5,102,0,104.5,0
41,5.700000002980232,104.59999999403954,0,110.29999999701977,0
42,2.7000000029802322,105.59999999403954,0,108.29999999701977,0
43,2.4000000059604645,102.20000000298023,0,104.6000000089407,0
44,2.3999999910593033,102.79999999701977,0,105.19999998807907,0
45,2.4000000059604645,102.90000000596046,0,105.30000001192093,0
46,2.3999999910593033,103.79999999701977,0,106.19999998807907,0
47,2.9000000059604645,103.40000000596046,0,106.30000001192093,0
48,2.3999999910593033,102.79999999701977,0,105.19999998807907,0
49,2.5,107.20000000298023,0,109.70000000298023,0
