iteration,preprocess_ms,inference_ms,postprocess_ms,detector_total_ms,detection_count
0,3.2000000029802322,76.19999998807907,0,79.3999999910593,2
1,2.7000000029802322,74.79999999701977,0,77.5,2
2,2.3999999910593033,75.1000000089407,0,77.5,2
3,2.7999999970197678,74.29999999701977,0,77.09999999403954,2
4,2.2999999970197678,74.20000000298023,0,76.5,2
5,2.5999999940395355,74.20000000298023,0,76.79999999701977,2
6,2.3999999910593033,76.70000000298023,0,79.09999999403954,2
7,2.4000000059604645,74.09999999403954,0,76.5,2
8,2.4000000059604645,75.09999999403954,0,77.5,2
9,2.7000000029802322,73.90000000596046,0,76.6000000089407,2
10,2.699999988079071,75,0,77.69999998807907,2
11,2.5,74.1000000089407,0,76.6000000089407,2
12,2.2999999970197678,75.29999999701977,0.10000000894069672,77.70000000298023,2
13,2.5,73.69999998807907,0,76.19999998807907,2
14,2.300000011920929,73.09999999403954,0,75.40000000596046,2
15,2.7000000029802322,74.8999999910593,0,77.59999999403954,2
16,2.5999999940395355,75.5,0,78.09999999403954,2
17,2.4000000059604645,75,0,77.40000000596046,2
18,2.5999999940395355,73.40000000596046,0,76,2
19,2.5999999940395355,75.1000000089407,0,77.70000000298023,2
20,2.8999999910593033,76.79999999701977,0,79.69999998807907,2
21,2.4000000059604645,75.79999999701977,0,78.20000000298023,2
22,2.7999999970197678,74.6000000089407,0,77.40000000596046,2
23,2.5,74.09999999403954,0,76.59999999403954,2
24,2.7999999970197678,77.1000000089407,0,79.90000000596046,2
25,2.8999999910593033,75.90000000596046,0,78.79999999701977,2
26,2.4000000059604645,75.59999999403954,0,78,2
27,2.5999999940395355,74.5,0,77.09999999403954,2
28,2.7000000029802322,75.29999999701977,0,78,2
29,2.5,75.09999999403954,0,77.59999999403954,2
30,3,76,0,79,2
31,2.5,75.1000000089407,0,77.6000000089407,2
32,2.8999999910593033,74.6000000089407,0,77.5,2
33,2.7999999970197678,76,0,78.79999999701977,2
34,2.8999999910593033,74.5,0,77.3999999910593,2
35,2.6000000089406967,74.8999999910593,0,77.5,2
36,2.4000000059604645,74.70000000298023,0,77.1000000089407,2
37,2.3999999910593033,75.70000000298023,0,78.09999999403954,2
38,2.4000000059604645,74,0,76.40000000596046,2
39,2.7000000029802322,73.19999998807907,0,75.8999999910593,2
40,2.7000000029802322,76.6000000089407,0,79.30000001192093,2
41,2.7999999970197678,73,0,75.79999999701977,2
42,2.7000000029802322,73.59999999403954,0,76.29999999701977,2
43,2.5,75.5,0,78,2
44,3.0999999940395355,75.6000000089407,0,78.70000000298023,2
45,2.5,76,0,78.5,2
46,2.4000000059604645,75.70000000298023,0,78.1000000089407,2
47,2.5,75.3999999910593,0,77.8999999910593,2
48,2.5,76.1000000089407,0,78.6000000089407,2
49,2.5,73.3999999910593,0,75.8999999910593,2
