iteration,prepare_ms,inference_ms
0,7.744999974966049,1994.5600000023842
1,6.889999985694885,1925.755000025034
2,7.245000004768372,1956.2349999845028
3,7.0999999940395355,1985.6950000226498
4,7.824999988079071,1973.8600000143051
5,7.084999978542328,1925.7849999964237
6,8.610000014305115,1987.550000011921
7,8.569999992847443,1972.925000011921
8,6.969999998807907,2036.4350000023842
9,9.375,1982.5349999964237
10,8.455000013113022,2047.1449999809265
11,7.0250000059604645,2077.060000002384
12,7.935000002384186,2065.344999998808
13,8.215000003576279,1974.5600000023842
14,7.965000003576279,2098.9149999916553
15,6.425000011920929,2098.264999985695
16,9.765000015497208,2143.1599999964237
17,6.495000004768372,2080.7450000047684
18,8.280000001192093,2061.919999986887
19,6.594999998807907,2076.3400000035763
20,7.629999995231628,1991.4150000214577
21,7.009999990463257,2021.5799999833107
22,8.870000004768372,1999.9850000143051
23,6.310000002384186,2014.2299999892712
24,7.675000011920929,2138.844999998808
25,11.555000007152557,2120.5250000059605
26,8.275000005960464,2031.9549999833107
27,6.435000002384186,2029.7750000059605
28,8.205000013113022,2017.219999998808
29,9.875,1989.3199999928474
30,8.340000003576279,1960.6399999856949
31,8.284999996423721,2008.0150000154972
32,8.014999985694885,1977.7450000047684
33,7.105000019073486,1986.6850000023842
34,10.224999994039536,1926.469999998808
35,7.495000004768372,1983.3400000035763
36,8.344999998807907,1959.4600000083447
37,8.060000002384186,1985.344999998808
38,7.554999977350235,1948.719999998808
39,8.2950000166893,2042.800000011921
40,7.875,2079.5799999833107
41,10.090000003576279,2057.610000014305
42,7.680000007152557,2117.2099999785423
43,7.280000001192093,2008.8499999940395
44,7.635000020265579,2038.3599999845028
45,7.8499999940395355,2095.7000000178814
46,7.8299999833106995,2150.550000011921
47,11.430000007152557,2128.6949999928474
48,8.5,2122.4600000083447
49,8.21000000834465,2132.559999972582
50,7.565000027418137,2105.9599999785423
51,7.740000009536743,2126.4000000059605
52,7.41499999165535,2114.895000010729
53,6.314999997615814,2133.145000010729
54,7.369999974966049,1977.6850000023842
55,7.25,2081.5049999952316
56,7.575000017881393,1998.2249999940395
57,9.08500000834465,1922.294999986887
58,8.240000009536743,1992.5450000166893
59,7.229999989271164,1862.9300000071526
60,7.590000003576279,1906.7849999964237
61,9.775000005960464,1997.714999973774
62,9.075000017881393,2059.25
63,7.909999996423721,2000.925000011921
64,8.0799999833107,1943.5900000035763
65,7.575000017881393,1936.7249999940395
66,10.229999989271164,1953.6299999952316
67,7.785000026226044,1983.6850000023842
68,9.419999986886978,1975.4799999892712
69,10.0799999833107,1957.1800000071526
70,8.449999988079071,1945.005000025034
71,8.280000001192093,1987.3999999761581
72,7.33500000834465,1956.0600000023842
73,8.155000001192093,1889.2150000035763
74,11.400000005960464,2092.830000013113
75,7.66499999165535,2026.6850000023842
76,8.41499999165535,2014.3549999892712
77,7.610000014305115,1982.625
78,8.509999990463257,1987.0400000214577
79,8.349999994039536,1997.2349999845028
80,10.890000015497208,1994.5900000035763
81,8.159999996423721,2002.530000001192
82,8.280000001192093,2073.0199999809265
83,8.379999995231628,2152.935000002384
84,9.4549999833107,2165.564999997616
85,8.71000000834465,2109.6299999952316
86,9.050000011920929,2111.655000001192
87,7.96000000834465,2204.199999988079
88,7.844999998807907,2163.2600000202656
89,7.344999998807907,2198.169999986887
90,8.590000003576279,2162.3799999952316
91,7.490000009536743,2168.4900000095367
92,8.280000001192093,2092.935000002384
93,8.024999976158142,2116.505000025034
94,8.849999994039536,2116.564999997616
95,8.634999990463257,2109.645000010729
96,8.0799999833107,2129.910000026226
97,7.864999979734421,2085.9000000059605
98,8.275000005960464,2121.3650000095367
99,8.094999998807907,2145.619999974966
100,8.054999977350235,2113.005000025034
101,7.899999976158142,2113.3350000083447
102,8.0450000166893,2069.530000001192
103,8.004999995231628,2116.9099999964237
104,9.264999985694885,2119.5900000035763
105,7.71000000834465,2102.844999998808
106,8.314999997615814,2156.5750000178814
107,7.584999978542328,2067.5850000083447
108,8.105000019073486,2118.8349999785423
109,7.435000002384186,2113.344999998808
110,8.580000013113022,2100.550000011921
111,7.8499999940395355,2170.3350000083447
112,8.064999997615814,2086.7549999952316
113,7.9749999940395355,2110.2549999952316
114,12.205000013113022,2128.1599999964237
115,8.129999995231628,2083.75
116,16.12999999523163,2123.100000023842
117,7.699999988079071,2092.294999986887
118,8.299999982118607,2148.985000014305
119,8.189999997615814,2145.359999984503
120,9.300000011920929,2162.7849999964237
121,9.060000002384186,2159.3849999904633
122,8.844999998807907,2137.0499999821186
123,8.159999996423721,2148.735000014305
124,7.800000011920929,2078.984999984503
125,7.805000007152557,2121.544999986887
126,7.925000011920929,2144.0049999952316
127,7.909999996423721,2137.564999997616
