iteration,prepare_ms,inference_ms
0,12.200000017881393,1241.699999988079
1,7.600000023841858,1219.5999999940395
2,7.5,1209.7999999821186
3,10.100000023841858,1239.2999999821186
4,8,1233.0999999940395
5,8.600000023841858,1239.8999999761581
6,10.5,1171.7000000178814
7,8.400000005960464,1249.199999988079
8,7.9000000059604645,1172.7999999821186
9,7.9000000059604645,1208.300000011921
10,7.699999988079071,1150.800000011921
11,7.699999988079071,1187.300000011921
12,7.9000000059604645,1173.7999999821186
13,7.5999999940395355,1149.6000000238419
14,7.199999988079071,1163.0999999940395
15,8,1177.5
16,7.300000011920929,1178.2999999821186
17,10.900000005960464,1215.300000011921
18,7.799999982118607,1140.7000000178814
19,7.5,1137.5
20,7.5999999940395355,1133.5999999940395
21,7.700000017881393,1162.2999999821186
22,10,1175.800000011921
23,7.9000000059604645,1179.699999988079
24,7.5999999940395355,1152.300000011921
25,7.5,1179.0999999940395
26,7.5999999940395355,1161.9000000059605
27,8,1168.4000000059605
28,7.699999988079071,1145.4000000059605
29,9.699999988079071,1189.4000000059605
30,7.9000000059604645,1173.699999988079
31,8.900000005960464,1194.300000011921
32,8.799999982118607,1167.300000011921
33,7.199999988079071,1166.300000011921
34,7.0999999940395355,1211.5999999940395
35,8.5,1192.300000011921
36,7.199999988079071,1180.2000000178814
37,8.400000005960464,1191.3999999761581
38,8.300000011920929,1189
39,7.5999999940395355,1172.0999999940395
40,7.300000011920929,1196.300000011921
41,8.699999988079071,1176
42,6.9000000059604645,1177
43,7.699999988079071,1200.5
44,8.400000005960464,1168.4000000059605
45,7,1152.5999999940395
46,7,1188.699999988079
47,7.800000011920929,1179.800000011921
48,7.5,1162.8999999761581
49,7.100000023841858,1225.0999999940395
50,9.599999994039536,1205.300000011921
51,6.899999976158142,1200.9000000059605
52,7.4000000059604645,1167.800000011921
53,7.9000000059604645,1167.8999999761581
54,7.100000023841858,1216.7999999821186
55,7.200000017881393,1187.5
56,8.099999994039536,1181.0999999940395
57,7.5999999940395355,1168.4000000059605
58,7.9000000059604645,1162.699999988079
59,6.9000000059604645,1203.199999988079
60,7.399999976158142,1177.2000000178814
61,8.199999988079071,1147.9000000059605
62,7.300000011920929,1161.8999999761581
63,7.300000011920929,1175.5
64,7.9000000059604645,1161.699999988079
65,6.9000000059604645,1151
66,7.199999988079071,1170.800000011921
67,7.9000000059604645,1232.199999988079
68,8.700000017881393,1188.5
69,9.599999994039536,1169.2999999821186
70,11.900000005960464,1252.5999999940395
71,7.200000017881393,1203.699999988079
72,6.9000000059604645,1196.199999988079
73,8,1170.5
74,6.800000011920929,1159.699999988079
75,7.600000023841858,1182.199999988079
76,7.800000011920929,1218.0999999940395
77,7.5,1194.0999999940395
78,7.5999999940395355,1331.0999999940395
79,7.399999976158142,1232.2000000178814
80,8,1276.4000000059605
81,6.699999988079071,1280.699999988079
82,7.800000011920929,1325.699999988079
83,7.300000011920929,1244.0999999940395
84,6.800000011920929,1194
85,7.199999988079071,1209.5
86,6.800000011920929,1209.7999999821186
87,6.800000011920929,1155.300000011921
88,6.799999982118607,1156.5
89,7.4000000059604645,1155.300000011921
90,6.699999988079071,1147.0999999940395
91,6.9000000059604645,1122.0999999940395
92,7.200000017881393,1118
93,6.799999982118607,1171.5
94,6.5999999940395355,1221.300000011921
95,9.900000005960464,1204.5
96,6.799999982118607,1238.800000011921
97,6.699999988079071,1196.300000011921
98,6.699999988079071,1192.6000000238419
99,6.5999999940395355,1164.9000000059605
100,6.799999982118607,1163.7000000178814
101,6.699999988079071,1163.5
102,6.699999988079071,1179.9000000059605
103,6.800000011920929,1204
104,6.699999988079071,1149.800000011921
105,6.799999982118607,1167.4000000059605
106,6.9000000059604645,1202.800000011921
107,6.899999976158142,1158.1000000238419
108,6.699999988079071,1202.5
109,6.5999999940395355,1197
110,6.700000017881393,1188.2999999821186
111,6.9000000059604645,1165.0999999940395
112,7.4000000059604645,1149.4000000059605
113,7,1121.5999999940395
114,6.699999988079071,1172.9000000059605
115,6.5,1167.2000000178814
116,7.199999988079071,1111.199999988079
117,7,1167.1000000238419
118,7,1170
119,6.899999976158142,1193.4000000059605
120,6.800000011920929,1218.2999999821186
121,6.9000000059604645,1131.7000000178814
122,6.899999976158142,1150
123,7.700000017881393,1143.7999999821186
124,7,1177.7999999821186
125,7.200000017881393,1159.5999999940395
126,7.299999982118607,1133.4000000059605
127,6.700000017881393,1156.8999999761581
