model,lighting,frames,mAP50,mAP50_95,precision,recall,detection_count
yolo26_fp32,daylight,2401,0.4997271724358838,0.24182255474638,0.753968253968254,0.42291141118860365,3780
yolo26_fp32,night,16,0.5100637188803974,0.3298064413209849,0.8888888888888888,0.48484848484848486,18
yolo26_full_qdq,daylight,2401,0.0,0.0,0.0,0.0,0
yolo26_full_qdq,night,16,0.0,0.0,0.0,0.0,0
yolo26_head_excluded_qdq,daylight,2401,0.4830876367709079,0.2350273375520905,0.7597874720357942,0.4031755453331355,3576
yolo26_head_excluded_qdq,night,16,0.3893297907553126,0.25961829621238675,0.8333333333333334,0.30303030303030304,12
