model,frames,mAP50,mAP50_95,precision,recall,detection_count
yolo26_fp32,2417,0.49986547186929087,0.24218106446024265,0.7546076882569773,0.42321323095097463,3798
yolo26_full_qdq,2417,0.0,0.0,0.0,0.0,0
yolo26_head_excluded_qdq,2417,0.482599667608018,0.23502800175189847,0.7600334448160535,0.4026875369167159,3588
